VBO id	transboundary name as in VBO	OMIA breed_id	xref	source for xref	OMIA breed_name	syn source	syn source	NCBITaxon_species_id	Xlookup NCBITaxon species name	DADIS Transboundary name	Synonyms for transboundary name, to be added	Notes (could be "A rdfs:comment" but unsure whether there is already a comment, so not adding at this point)
VBO:0000193	Dexter (Cattle)	36	OMIA:36		Dexter	https://omia.org		9913	Cattle	Dexter		
VBO:0001398	Dorset Down (Sheep)	694	OMIA:694		Dorset Down	https://omia.org		9940	Sheep	Dorset Down		
VBO:0001398	Dorset Horn (Sheep)	112	OMIA:112		Dorset Horn	https://omia.org		9940	Sheep	Dorset Horn		
VBO:0000196	Droughtmaster (Cattle)	644	OMIA:644		Droughtmaster	https://omia.org		9913	Cattle	Droughtmaster		
VBO:0001127	Duroc (Pig)	93	OMIA:93		Duroc	https://omia.org		9823	Pig	Duroc		
VBO:0000197	Dutch Belted (Cattle)	600	OMIA:600		Dutch Belted	https://omia.org		9913	Cattle	Dutch Belted		
VBO:0001404	East Friesian (Sheep)	629	OMIA:629		East Friesian	https://omia.org		9940	Sheep	East Friesian		
VBO:0000233	Herens (Cattle)	1115	OMIA:1115		Eringer	https://omia.org		9913	Cattle	Herens		
VBO:0000528	Fayoumi (Chicken)	1053	OMIA:1053		Fayoumi eplipeptic strain	https://omia.org		9031	Chicken	Fayoumi		
VBO:0000958	Fell Pony (Horse)	1042	OMIA:1042		Fell Pony	https://omia.org		9796	Horse	Fell Pony		
VBO:0001414	Finnish Landrace (Sheep)	35	OMIA:35		Finnish Landrace	https://omia.org		9940	Sheep	Finnish Landrace		
VBO:0001414	Finnish Landrace (Sheep)	111	OMIA:111		Finnsheep	https://omia.org		9940	Sheep	Finnish Landrace		
VBO:0000961	Fjord (Horse)	687	OMIA:687		Fjord	https://omia.org		9796	Horse	Fjord		
VBO:0000380	Simmental (Cattle)	167	OMIA:167		Fleckvieh	https://omia.org		9913	Cattle	Simmental		
VBO:0001249	Flemish Giant (Rabbit)	455	OMIA:455		Flemish Giant	https://omia.org		9986	Rabbit	Flemish Giant		
