	UBO:ID (start after the species ID)	label (includes species name because the same name might be shared between species)	transboundary name	species =parent term	parent ID
Commercial strain- layer- Shaver 579!%!Chicken	UBO:0000510	Commercial strain- layer- Shaver 579 (Chicken)	Commercial strain- layer- Shaver 579	Chicken	UBO:0000008
Commercial strain- layer- Shaver Starcross!%!Chicken	UBO:0000511	Commercial strain- layer- Shaver Starcross (Chicken)	Commercial strain- layer- Shaver Starcross	Chicken	UBO:0000008
Commercial strain- layer- Shaver Starcross 579!%!Chicken	UBO:0000512	Commercial strain- layer- Shaver Starcross 579 (Chicken)	Commercial strain- layer- Shaver Starcross 579	Chicken	UBO:0000008
Commercial strain- Peterson!%!Chicken	UBO:0000513	Commercial strain- Peterson (Chicken)	Commercial strain- Peterson	Chicken	UBO:0000008
Commercial strain- Rodonit!%!Chicken	UBO:0000514	Commercial strain- Rodonit (Chicken)	Commercial strain- Rodonit	Chicken	UBO:0000008
Commercial strain- Sebright!%!Chicken	UBO:0000515	Commercial strain- Sebright (Chicken)	Commercial strain- Sebright	Chicken	UBO:0000008
Cornish!%!Chicken	UBO:0000516	Cornish (Chicken)	Cornish	Chicken	UBO:0000008
CrÃ¨vecoeur!%!Chicken	UBO:0000517	CrÃ¨vecoeur (Chicken)	CrÃ¨vecoeur	Chicken	UBO:0000008
Croad Langshan!%!Chicken	UBO:0000518	Croad Langshan (Chicken)	Croad Langshan	Chicken	UBO:0000008
Derbyshire Redcap!%!Chicken	UBO:0000519	Derbyshire Redcap (Chicken)	Derbyshire Redcap	Chicken	UBO:0000008
Dokki!%!Chicken	UBO:0000520	Dokki (Chicken)	Dokki	Chicken	UBO:0000008
Dominique!%!Chicken	UBO:0000521	Dominique (Chicken)	Dominique	Chicken	UBO:0000008
Dorking!%!Chicken	UBO:0000522	Dorking (Chicken)	Dorking	Chicken	UBO:0000008
Dresdener!%!Chicken	UBO:0000523	Dresdener (Chicken)	Dresdener	Chicken	UBO:0000008
Exotic breeds/layers!%!Chicken	UBO:0000524	Exotic breeds/layers (Chicken)	Exotic breeds/layers	Chicken	UBO:0000008
Exotic chicken!%!Chicken	UBO:0000525	Exotic chicken (Chicken)	Exotic chicken	Chicken	UBO:0000008
exotic layers!%!Chicken	UBO:0000526	exotic layers (Chicken)	exotic layers	Chicken	UBO:0000008
Faverolle!%!Chicken	UBO:0000527	Faverolle (Chicken)	Faverolle	Chicken	UBO:0000008
Fayoumi!%!Chicken	UBO:0000528	Fayoumi (Chicken)	Fayoumi	Chicken	UBO:0000008
Friesland!%!Chicken	UBO:0000529	Friesland (Chicken)	Friesland	Chicken	UBO:0000008
Frizzle!%!Chicken	UBO:0000530	Frizzle (Chicken)	Frizzle	Chicken	UBO:0000008
Giriraja!%!Chicken	UBO:0000531	Giriraja (Chicken)	Giriraja	Chicken	UBO:0000008
Gournay!%!Chicken	UBO:0000532	Gournay (Chicken)	Gournay	Chicken	UBO:0000008
Green-Legged Partridge!%!Chicken	UBO:0000533	Green-Legged Partridge (Chicken)	Green-Legged Partridge	Chicken	UBO:0000008
Hamburg!%!Chicken	UBO:0000534	Hamburg (Chicken)	Hamburg	Chicken	UBO:0000008
Hamburger!%!Chicken	UBO:0000535	Hamburger (Chicken)	Hamburger	Chicken	UBO:0000008
Hampshire!%!Chicken	UBO:0000536	Hampshire (Chicken)	Hampshire	Chicken	UBO:0000008
Holland!%!Chicken	UBO:0000537	Holland (Chicken)	Holland	Chicken	UBO:0000008
Houdan!%!Chicken	UBO:0000538	Houdan (Chicken)	Houdan	Chicken	UBO:0000008
Houdan Bantam!%!Chicken	UBO:0000539	Houdan Bantam (Chicken)	Houdan Bantam	Chicken	UBO:0000008
Hungarian Yellow!%!Chicken	UBO:0000540	Hungarian Yellow (Chicken)	Hungarian Yellow	Chicken	UBO:0000008
Indian Game!%!Chicken	UBO:0000541	Indian Game (Chicken)	Indian Game	Chicken	UBO:0000008
Indigenous!%!Chicken	UBO:0000542	Indigenous (Chicken)	Indigenous	Chicken	UBO:0000008
Indigenous chicken!%!Chicken	UBO:0000543	Indigenous chicken (Chicken)	Indigenous chicken	Chicken	UBO:0000008
Italian!%!Chicken	UBO:0000544	Italian (Chicken)	Italian	Chicken	UBO:0000008
Japanese Bantam!%!Chicken	UBO:0000545	Japanese Bantam (Chicken)	Japanese Bantam	Chicken	UBO:0000008
Japanese Game Bantam!%!Chicken	UBO:0000546	Japanese Game Bantam (Chicken)	Japanese Game Bantam	Chicken	UBO:0000008
Jersey Giant!%!Chicken	UBO:0000547	Jersey Giant (Chicken)	Jersey Giant	Chicken	UBO:0000008
Jungle Fowl!%!Chicken	UBO:0000548	Jungle Fowl (Chicken)	Jungle Fowl	Chicken	UBO:0000008
Kampong!%!Chicken	UBO:0000549	Kampong (Chicken)	Kampong	Chicken	UBO:0000008
Korean Native!%!Chicken	UBO:0000550	Korean Native (Chicken)	Korean Native	Chicken	UBO:0000008
Kraienkoppe!%!Chicken	UBO:0000551	Kraienkoppe (Chicken)	Kraienkoppe	Chicken	UBO:0000008
Kraienkoppe Bantam!%!Chicken	UBO:0000552	Kraienkoppe Bantam (Chicken)	Kraienkoppe Bantam	Chicken	UBO:0000008
La FlÃ©che!%!Chicken	UBO:0000553	La FlÃ©che (Chicken)	La FlÃ©che	Chicken	UBO:0000008
La FlÃ©che Bantam!%!Chicken	UBO:0000554	La FlÃ©che Bantam (Chicken)	La FlÃ©che Bantam	Chicken	UBO:0000008
La poule de Herve!%!Chicken	UBO:0000555	La poule de Herve (Chicken)	La poule de Herve	Chicken	UBO:0000008
Lakenvelder!%!Chicken	UBO:0000556	Lakenvelder (Chicken)	Lakenvelder	Chicken	UBO:0000008
Lakenvelder Bantam!%!Chicken	UBO:0000557	Lakenvelder Bantam (Chicken)	Lakenvelder Bantam	Chicken	UBO:0000008
Langshan!%!Chicken	UBO:0000558	Langshan (Chicken)	Langshan	Chicken	UBO:0000008
Legbar!%!Chicken	UBO:0000559	Legbar (Chicken)	Legbar	Chicken	UBO:0000008
Leghorn G99!%!Chicken	UBO:0000560	Leghorn G99 (Chicken)	Leghorn G99	Chicken	UBO:0000008
Leghorn H22!%!Chicken	UBO:0000561	Leghorn H22 (Chicken)	Leghorn H22	Chicken	UBO:0000008
Leghorn H33!%!Chicken	UBO:0000562	Leghorn H33 (Chicken)	Leghorn H33	Chicken	UBO:0000008
Leghorn H44!%!Chicken	UBO:0000563	Leghorn H44 (Chicken)	Leghorn H44	Chicken	UBO:0000008
Leghorn H77!%!Chicken	UBO:0000564	Leghorn H77 (Chicken)	Leghorn H77	Chicken	UBO:0000008
Leghorn L99!%!Chicken	UBO:0000565	Leghorn L99 (Chicken)	Leghorn L99	Chicken	UBO:0000008
Light Sussex!%!Chicken	UBO:0000566	Light Sussex (Chicken)	Light Sussex	Chicken	UBO:0000008
Lincolnshire Buff!%!Chicken	UBO:0000567	Lincolnshire Buff (Chicken)	Lincolnshire Buff	Chicken	UBO:0000008
Malay Game!%!Chicken	UBO:0000568	Malay Game (Chicken)	Malay Game	Chicken	UBO:0000008
Marans!%!Chicken	UBO:0000569	Marans (Chicken)	Marans	Chicken	UBO:0000008
Marans Bantam!%!Chicken	UBO:0000570	Marans Bantam (Chicken)	Marans Bantam	Chicken	UBO:0000008
Marans White!%!Chicken	UBO:0000571	Marans White (Chicken)	Marans White	Chicken	UBO:0000008
Minorca!%!Chicken	UBO:0000572	Minorca (Chicken)	Minorca	Chicken	UBO:0000008
Modern Game!%!Chicken	UBO:0000573	Modern Game (Chicken)	Modern Game	Chicken	UBO:0000008
Nankin!%!Chicken	UBO:0000574	Nankin (Chicken)	Nankin	Chicken	UBO:0000008
Nera!%!Chicken	UBO:0000575	Nera (Chicken)	Nera	Chicken	UBO:0000008
New Hampshire!%!Chicken	UBO:0000576	New Hampshire (Chicken)	New Hampshire	Chicken	UBO:0000008
New Hampshire N11!%!Chicken	UBO:0000577	New Hampshire N11 (Chicken)	New Hampshire N11	Chicken	UBO:0000008
New Hampshire N22!%!Chicken	UBO:0000578	New Hampshire N22 (Chicken)	New Hampshire N22	Chicken	UBO:0000008
New Hampshire N88!%!Chicken	UBO:0000579	New Hampshire N88 (Chicken)	New Hampshire N88	Chicken	UBO:0000008
New Hampshire Red!%!Chicken	UBO:0000580	New Hampshire Red (Chicken)	New Hampshire Red	Chicken	UBO:0000008
Norfolk Grey!%!Chicken	UBO:0000581	Norfolk Grey (Chicken)	Norfolk Grey	Chicken	UBO:0000008
North Holland Blue!%!Chicken	UBO:0000582	North Holland Blue (Chicken)	North Holland Blue	Chicken	UBO:0000008
Old English Game!%!Chicken	UBO:0000583	Old English Game (Chicken)	Old English Game	Chicken	UBO:0000008
Old English Game Bantam!%!Chicken	UBO:0000584	Old English Game Bantam (Chicken)	Old English Game Bantam	Chicken	UBO:0000008
Onagadori!%!Chicken	UBO:0000585	Onagadori (Chicken)	Onagadori	Chicken	UBO:0000008
Oravka!%!Chicken	UBO:0000586	Oravka (Chicken)	Oravka	Chicken	UBO:0000008
Orloff!%!Chicken	UBO:0000587	Orloff (Chicken)	Orloff	Chicken	UBO:0000008
Orpington!%!Chicken	UBO:0000588	Orpington (Chicken)	Orpington	Chicken	UBO:0000008
Orpington Buff!%!Chicken	UBO:0000589	Orpington Buff (Chicken)	Orpington Buff	Chicken	UBO:0000008
Paduan!%!Chicken	UBO:0000590	Paduan (Chicken)	Paduan	Chicken	UBO:0000008
Phoenix!%!Chicken	UBO:0000591	Phoenix (Chicken)	Phoenix	Chicken	UBO:0000008
Plymouth Rock!%!Chicken	UBO:0000592	Plymouth Rock (Chicken)	Plymouth Rock	Chicken	UBO:0000008
Plymouth Rock Barred!%!Chicken	UBO:0000593	Plymouth Rock Barred (Chicken)	Plymouth Rock Barred	Chicken	UBO:0000008
Plymouth Rock White!%!Chicken	UBO:0000594	Plymouth Rock White (Chicken)	Plymouth Rock White	Chicken	UBO:0000008
Polbar!%!Chicken	UBO:0000595	Polbar (Chicken)	Polbar	Chicken	UBO:0000008
Polish!%!Chicken	UBO:0000596	Polish (Chicken)	Polish	Chicken	UBO:0000008
Progress!%!Chicken	UBO:0000597	Progress (Chicken)	Progress	Chicken	UBO:0000008
Rhinlander!%!Chicken	UBO:0000598	Rhinlander (Chicken)	Rhinlander	Chicken	UBO:0000008
Rhode Island Red!%!Chicken	UBO:0000599	Rhode Island Red (Chicken)	Rhode Island Red	Chicken	UBO:0000008
Rhode Island Red Bantam!%!Chicken	UBO:0000600	Rhode Island Red Bantam (Chicken)	Rhode Island Red Bantam	Chicken	UBO:0000008
Rhode Island Red K22!%!Chicken	UBO:0000601	Rhode Island Red K22 (Chicken)	Rhode Island Red K22	Chicken	UBO:0000008
Rhode Island Red K44!%!Chicken	UBO:0000602	Rhode Island Red K44 (Chicken)	Rhode Island Red K44	Chicken	UBO:0000008
Rhode Island Red K66!%!Chicken	UBO:0000603	Rhode Island Red K66 (Chicken)	Rhode Island Red K66	Chicken	UBO:0000008
Rhode Island Red R11!%!Chicken	UBO:0000604	Rhode Island Red R11 (Chicken)	Rhode Island Red R11	Chicken	UBO:0000008
Rhode Island Red R33!%!Chicken	UBO:0000605	Rhode Island Red R33 (Chicken)	Rhode Island Red R33	Chicken	UBO:0000008
Rhode Island Red R55!%!Chicken	UBO:0000606	Rhode Island Red R55 (Chicken)	Rhode Island Red R55	Chicken	UBO:0000008
Rhode Island Red V44!%!Chicken	UBO:0000607	Rhode Island Red V44 (Chicken)	Rhode Island Red V44	Chicken	UBO:0000008
Rhode Island White A22!%!Chicken	UBO:0000608	Rhode Island White A22 (Chicken)	Rhode Island White A22	Chicken	UBO:0000008
Rhode Island White A33!%!Chicken	UBO:0000609	Rhode Island White A33 (Chicken)	Rhode Island White A33	Chicken	UBO:0000008
Rhode Island White A88!%!Chicken	UBO:0000610	Rhode Island White A88 (Chicken)	Rhode Island White A88	Chicken	UBO:0000008
Rhode Island White M55!%!Chicken	UBO:0000611	Rhode Island White M55 (Chicken)	Rhode Island White M55	Chicken	UBO:0000008
Rhodebar!%!Chicken	UBO:0000612	Rhodebar (Chicken)	Rhodebar	Chicken	UBO:0000008
Rumpless Game!%!Chicken	UBO:0000613	Rumpless Game (Chicken)	Rumpless Game	Chicken	UBO:0000008
Sasso!%!Chicken	UBO:0000614	Sasso (Chicken)	Sasso	Chicken	UBO:0000008
Satsuma-Dori!%!Chicken	UBO:0000615	Satsuma-Dori (Chicken)	Satsuma-Dori	Chicken	UBO:0000008
Scots Dumpy!%!Chicken	UBO:0000616	Scots Dumpy (Chicken)	Scots Dumpy	Chicken	UBO:0000008
Shamo!%!Chicken	UBO:0000617	Shamo (Chicken)	Shamo	Chicken	UBO:0000008
Sicilian Buttercup!%!Chicken	UBO:0000618	Sicilian Buttercup (Chicken)	Sicilian Buttercup	Chicken	UBO:0000008
Silkie!%!Chicken	UBO:0000619	Silkie (Chicken)	Silkie	Chicken	UBO:0000008
Slovenska grahasta kokoÅ¡!%!Chicken	UBO:0000620	Slovenska grahasta kokoÅ¡ (Chicken)	Slovenska grahasta kokoÅ¡	Chicken	UBO:0000008
Slovenska pitovna kokoÅ¡!%!Chicken	UBO:0000621	Slovenska pitovna kokoÅ¡ (Chicken)	Slovenska pitovna kokoÅ¡	Chicken	UBO:0000008
Slovenska pozno operjena kokoÅ¡!%!Chicken	UBO:0000622	Slovenska pozno operjena kokoÅ¡ (Chicken)	Slovenska pozno operjena kokoÅ¡	Chicken	UBO:0000008
Slovenska rjava kokoÅ¡!%!Chicken	UBO:0000623	Slovenska rjava kokoÅ¡ (Chicken)	Slovenska rjava kokoÅ¡	Chicken	UBO:0000008
Slovenska srebrna kokoÅ¡!%!Chicken	UBO:0000624	Slovenska srebrna kokoÅ¡ (Chicken)	Slovenska srebrna kokoÅ¡	Chicken	UBO:0000008
Slovenska zgodaj operjena kokoÅ¡!%!Chicken	UBO:0000625	Slovenska zgodaj operjena kokoÅ¡ (Chicken)	Slovenska zgodaj operjena kokoÅ¡	Chicken	UBO:0000008
Spanish!%!Chicken	UBO:0000626	Spanish (Chicken)	Spanish	Chicken	UBO:0000008
Sulmtaler!%!Chicken	UBO:0000627	Sulmtaler (Chicken)	Sulmtaler	Chicken	UBO:0000008
Sultan!%!Chicken	UBO:0000628	Sultan (Chicken)	Sultan	Chicken	UBO:0000008
Sumatra!%!Chicken	UBO:0000629	Sumatra (Chicken)	Sumatra	Chicken	UBO:0000008
Sussex!%!Chicken	UBO:0000630	Sussex (Chicken)	Sussex	Chicken	UBO:0000008
Sussex S-66!%!Chicken	UBO:0000631	Sussex S-66 (Chicken)	Sussex S-66	Chicken	UBO:0000008
Sussex S11!%!Chicken	UBO:0000632	Sussex S11 (Chicken)	Sussex S11	Chicken	UBO:0000008
Sussex S22!%!Chicken	UBO:0000633	Sussex S22 (Chicken)	Sussex S22	Chicken	UBO:0000008
Sussex S55!%!Chicken	UBO:0000634	Sussex S55 (Chicken)	Sussex S55	Chicken	UBO:0000008
Sussex Speckled!%!Chicken	UBO:0000635	Sussex Speckled (Chicken)	Sussex Speckled	Chicken	UBO:0000008
Taiwan Country Breed!%!Chicken	UBO:0000636	Taiwan Country Breed (Chicken)	Taiwan Country Breed	Chicken	UBO:0000008
Tanzania indigenous chicken!%!Chicken	UBO:0000637	Tanzania indigenous chicken (Chicken)	Tanzania indigenous chicken	Chicken	UBO:0000008
ThÃ¼ringer BarthÃ¼hner!%!Chicken	UBO:0000638	ThÃ¼ringer BarthÃ¼hner (Chicken)	ThÃ¼ringer BarthÃ¼hner	Chicken	UBO:0000008
Transylvanian Naked Neck!%!Chicken	UBO:0000639	Transylvanian Naked Neck (Chicken)	Transylvanian Naked Neck	Chicken	UBO:0000008
Transylvanian Naked Neck Bantam!%!Chicken	UBO:0000640	Transylvanian Naked Neck Bantam (Chicken)	Transylvanian Naked Neck Bantam	Chicken	UBO:0000008
Vorwerk!%!Chicken	UBO:0000641	Vorwerk (Chicken)	Vorwerk	Chicken	UBO:0000008
Warren!%!Chicken	UBO:0000642	Warren (Chicken)	Warren	Chicken	UBO:0000008
Welsummer!%!Chicken	UBO:0000643	Welsummer (Chicken)	Welsummer	Chicken	UBO:0000008
Welsummer Bantam!%!Chicken	UBO:0000644	Welsummer Bantam (Chicken)	Welsummer Bantam	Chicken	UBO:0000008
White Cornish!%!Chicken	UBO:0000645	White Cornish (Chicken)	White Cornish	Chicken	UBO:0000008
White Leghorn!%!Chicken	UBO:0000646	White Leghorn (Chicken)	White Leghorn	Chicken	UBO:0000008
Wyandotte!%!Chicken	UBO:0000647	Wyandotte (Chicken)	Wyandotte	Chicken	UBO:0000008
Wyandotte White!%!Chicken	UBO:0000648	Wyandotte White (Chicken)	Wyandotte White	Chicken	UBO:0000008
Axis deer (Axis axis)!%!Deer	UBO:0000649	Axis deer (Axis axis) (Deer)	Axis deer (Axis axis)	Deer	UBO:0000009
Chinese water deer (Hydropotes inermis)!%!Deer	UBO:0000650	Chinese water deer (Hydropotes inermis) (Deer)	Chinese water deer (Hydropotes inermis)	Deer	UBO:0000009
Fallow Deer (Cervus dama)!%!Deer	UBO:0000651	Fallow Deer (Cervus dama) (Deer)	Fallow Deer (Cervus dama)	Deer	UBO:0000009
Formosan sika deer (Cervus nippon taiouanus)!%!Deer	UBO:0000652	Formosan sika deer (Cervus nippon taiouanus) (Deer)	Formosan sika deer (Cervus nippon taiouanus)	Deer	UBO:0000009
Hog Deer (Axis porcinus)!%!Deer	UBO:0000653	Hog Deer (Axis porcinus) (Deer)	Hog Deer (Axis porcinus)	Deer	UBO:0000009
Muntjac deer (Muntiacus reevesi)!%!Deer	UBO:0000654	Muntjac deer (Muntiacus reevesi) (Deer)	Muntjac deer (Muntiacus reevesi)	Deer	UBO:0000009
Red Deer (Cervus elaphus)!%!Deer	UBO:0000655	Red Deer (Cervus elaphus) (Deer)	Red Deer (Cervus elaphus)	Deer	UBO:0000009
Reindeer/Caribou!%!Deer	UBO:0000656	Reindeer/Caribou (Deer)	Reindeer/Caribou	Deer	UBO:0000009
Roe deer (Capreolus capreolus)!%!Deer	UBO:0000657	Roe deer (Capreolus capreolus) (Deer)	Roe deer (Capreolus capreolus)	Deer	UBO:0000009
Rusa deer (Cervus timorensis)!%!Deer	UBO:0000658	Rusa deer (Cervus timorensis) (Deer)	Rusa deer (Cervus timorensis)	Deer	UBO:0000009
Sambar deer (Cervus unicolor)!%!Deer	UBO:0000659	Sambar deer (Cervus unicolor) (Deer)	Sambar deer (Cervus unicolor)	Deer	UBO:0000009
Sika deer (Cervus nippon nippon)!%!Deer	UBO:0000660	Sika deer (Cervus nippon nippon) (Deer)	Sika deer (Cervus nippon nippon)	Deer	UBO:0000009
Broholmer dog!%!Dog	UBO:0000661	Broholmer dog (Dog)	Broholmer dog	Dog	UBO:0000010
Danish White Spitz!%!Dog	UBO:0000662	Danish White Spitz (Dog)	Danish White Spitz	Dog	UBO:0000010
Danish/swedish Farm Dog!%!Dog	UBO:0000663	Danish/swedish Farm Dog (Dog)	Danish/swedish Farm Dog	Dog	UBO:0000010
Dutch Partridge Dog!%!Dog	UBO:0000664	Dutch Partridge Dog (Dog)	Dutch Partridge Dog	Dog	UBO:0000010
Gos Rater ValenciÃ !%!Dog	UBO:0000665	Gos Rater ValenciÃ  (Dog)	Gos Rater ValenciÃ 	Dog	UBO:0000010
Kooiker dog!%!Dog	UBO:0000666	Kooiker dog (Dog)	Kooiker dog	Dog	UBO:0000010
Not found!%!Dog	UBO:0000667	Not found (Dog)	Not found	Dog	UBO:0000010
Old Danish Pointing Dog!%!Dog	UBO:0000668	Old Danish Pointing Dog (Dog)	Old Danish Pointing Dog	Dog	UBO:0000010
perro Dogo Guatemalteco!%!Dog	UBO:0000669	perro Dogo Guatemalteco (Dog)	perro Dogo Guatemalteco	Dog	UBO:0000010
Pyrenean Mastiff!%!Dog	UBO:0000670	Pyrenean Mastiff (Dog)	Pyrenean Mastiff	Dog	UBO:0000010
Arab Camel!%!Dromedary	UBO:0000671	Arab Camel (Dromedary)	Arab Camel	Dromedary	UBO:0000011
Maghrabi!%!Dromedary	UBO:0000672	Maghrabi (Dromedary)	Maghrabi	Dromedary	UBO:0000011
Saharan Camel!%!Dromedary	UBO:0000673	Saharan Camel (Dromedary)	Saharan Camel	Dromedary	UBO:0000011
Turkmen Arvana!%!Dromedary	UBO:0000674	Turkmen Arvana (Dromedary)	Turkmen Arvana	Dromedary	UBO:0000011
Dromadaire!%!Dromedary Bactrian Camel	UBO:0000675	Dromadaire (Dromedary Bactrian Camel)	Dromadaire	Dromedary Bactrian Camel	UBO:0000012
Abacot Ranger!%!Duck (domestic)	UBO:0000676	Abacot Ranger (Duck (domestic))	Abacot Ranger	Duck (domestic)	UBO:0000013
Anas domesticus!%!Duck (domestic)	UBO:0000677	Anas domesticus (Duck (domestic))	Anas domesticus	Duck (domestic)	UBO:0000013
Anas platyrhynchos Borneo!%!Duck (domestic)	UBO:0000678	Anas platyrhynchos Borneo (Duck (domestic))	Anas platyrhynchos Borneo	Duck (domestic)	UBO:0000013
Appleyard!%!Duck (domestic)	UBO:0000679	Appleyard (Duck (domestic))	Appleyard	Duck (domestic)	UBO:0000013
Aylesbury!%!Duck (domestic)	UBO:0000680	Aylesbury (Duck (domestic))	Aylesbury	Duck (domestic)	UBO:0000013
Belibis!%!Duck (domestic)	UBO:0000681	Belibis (Duck (domestic))	Belibis	Duck (domestic)	UBO:0000013
Black East Indian!%!Duck (domestic)	UBO:0000682	Black East Indian (Duck (domestic))	Black East Indian	Duck (domestic)	UBO:0000013
Blue Swedish!%!Duck (domestic)	UBO:0000683	Blue Swedish (Duck (domestic))	Blue Swedish	Duck (domestic)	UBO:0000013
Call!%!Duck (domestic)	UBO:0000684	Call (Duck (domestic))	Call	Duck (domestic)	UBO:0000013
Cayuga!%!Duck (domestic)	UBO:0000685	Cayuga (Duck (domestic))	Cayuga	Duck (domestic)	UBO:0000013
Commercial Astra K!%!Duck (domestic)	UBO:0000686	Commercial Astra K (Duck (domestic))	Commercial Astra K	Duck (domestic)	UBO:0000013
Commercial Astra K-1!%!Duck (domestic)	UBO:0000687	Commercial Astra K-1 (Duck (domestic))	Commercial Astra K-1	Duck (domestic)	UBO:0000013
Commercial Astra K54!%!Duck (domestic)	UBO:0000688	Commercial Astra K54 (Duck (domestic))	Commercial Astra K54	Duck (domestic)	UBO:0000013
Commercial Cherry Valley!%!Duck (domestic)	UBO:0000689	Commercial Cherry Valley (Duck (domestic))	Commercial Cherry Valley	Duck (domestic)	UBO:0000013
Crested!%!Duck (domestic)	UBO:0000690	Crested (Duck (domestic))	Crested	Duck (domestic)	UBO:0000013
Duclair!%!Duck (domestic)	UBO:0000691	Duclair (Duck (domestic))	Duclair	Duck (domestic)	UBO:0000013
Dworka!%!Duck (domestic)	UBO:0000692	Dworka (Duck (domestic))	Dworka	Duck (domestic)	UBO:0000013
Emerald!%!Duck (domestic)	UBO:0000693	Emerald (Duck (domestic))	Emerald	Duck (domestic)	UBO:0000013
Hook Bill!%!Duck (domestic)	UBO:0000694	Hook Bill (Duck (domestic))	Hook Bill	Duck (domestic)	UBO:0000013
Huttegem!%!Duck (domestic)	UBO:0000695	Huttegem (Duck (domestic))	Huttegem	Duck (domestic)	UBO:0000013
Indian Runner!%!Duck (domestic)	UBO:0000696	Indian Runner (Duck (domestic))	Indian Runner	Duck (domestic)	UBO:0000013
Indian Runner Duck!%!Duck (domestic)	UBO:0000697	Indian Runner Duck (Duck (domestic))	Indian Runner Duck	Duck (domestic)	UBO:0000013
Khaki Campbell!%!Duck (domestic)	UBO:0000698	Khaki Campbell (Duck (domestic))	Khaki Campbell	Duck (domestic)	UBO:0000013
Khaki Campbell Kh1!%!Duck (domestic)	UBO:0000699	Khaki Campbell Kh1 (Duck (domestic))	Khaki Campbell Kh1	Duck (domestic)	UBO:0000013
Mascovy!%!Duck (domestic)	UBO:0000700	Mascovy (Duck (domestic))	Mascovy	Duck (domestic)	UBO:0000013
Mini Duck!%!Duck (domestic)	UBO:0000701	Mini Duck (Duck (domestic))	Mini Duck	Duck (domestic)	UBO:0000013
Orpington!%!Duck (domestic)	UBO:0000702	Orpington (Duck (domestic))	Orpington	Duck (domestic)	UBO:0000013
Orpington O1!%!Duck (domestic)	UBO:0000703	Orpington O1 (Duck (domestic))	Orpington O1	Duck (domestic)	UBO:0000013
Overberg!%!Duck (domestic)	UBO:0000704	Overberg (Duck (domestic))	Overberg	Duck (domestic)	UBO:0000013
Pekin!%!Duck (domestic)	UBO:0000705	Pekin (Duck (domestic))	Pekin	Duck (domestic)	UBO:0000013
Pekin A44!%!Duck (domestic)	UBO:0000706	Pekin A44 (Duck (domestic))	Pekin A44	Duck (domestic)	UBO:0000013
Pommern!%!Duck (domestic)	UBO:0000707	Pommern (Duck (domestic))	Pommern	Duck (domestic)	UBO:0000013
Rouen!%!Duck (domestic)	UBO:0000708	Rouen (Duck (domestic))	Rouen	Duck (domestic)	UBO:0000013
Rouen Clair!%!Duck (domestic)	UBO:0000709	Rouen Clair (Duck (domestic))	Rouen Clair	Duck (domestic)	UBO:0000013
Saxony!%!Duck (domestic)	UBO:0000710	Saxony (Duck (domestic))	Saxony	Duck (domestic)	UBO:0000013
Swedish Blue!%!Duck (domestic)	UBO:0000711	Swedish Blue (Duck (domestic))	Swedish Blue	Duck (domestic)	UBO:0000013
Welsh Harlequin!%!Duck (domestic)	UBO:0000712	Welsh Harlequin (Duck (domestic))	Welsh Harlequin	Duck (domestic)	UBO:0000013
White Pekin!%!Duck (domestic)	UBO:0000713	White Pekin (Duck (domestic))	White Pekin	Duck (domestic)	UBO:0000013
Wild duck!%!Duck (domestic)	UBO:0000714	Wild duck (Duck (domestic))	Wild duck	Duck (domestic)	UBO:0000013
Emu!%!Emu	UBO:0000715	Emu (Emu)	Emu	Emu	UBO:0000015
Adal!%!Goat	UBO:0000716	Adal (Goat)	Adal	Goat	UBO:0000016
Alpine!%!Goat	UBO:0000717	Alpine (Goat)	Alpine	Goat	UBO:0000016
Altai Mountain!%!Goat	UBO:0000718	Altai Mountain (Goat)	Altai Mountain	Goat	UBO:0000016
American Pygmy!%!Goat	UBO:0000719	American Pygmy (Goat)	American Pygmy	Goat	UBO:0000016
Andalusian Black!%!Goat	UBO:0000720	Andalusian Black (Goat)	Andalusian Black	Goat	UBO:0000016
Andalusian White!%!Goat	UBO:0000721	Andalusian White (Goat)	Andalusian White	Goat	UBO:0000016
Anglo-Nubian!%!Goat	UBO:0000722	Anglo-Nubian (Goat)	Anglo-Nubian	Goat	UBO:0000016
Angora!%!Goat	UBO:0000723	Angora (Goat)	Angora	Goat	UBO:0000016
Appenzell!%!Goat	UBO:0000724	Appenzell (Goat)	Appenzell	Goat	UBO:0000016
Australian feral!%!Goat	UBO:0000725	Australian feral (Goat)	Australian feral	Goat	UBO:0000016
Azerbaijan!%!Goat	UBO:0000726	Azerbaijan (Goat)	Azerbaijan	Goat	UBO:0000016
Bagot!%!Goat	UBO:0000727	Bagot (Goat)	Bagot	Goat	UBO:0000016
Barbari!%!Goat	UBO:0000728	Barbari (Goat)	Barbari	Goat	UBO:0000016
Beetal!%!Goat	UBO:0000729	Beetal (Goat)	Beetal	Goat	UBO:0000016
Belgian Fawn!%!Goat	UBO:0000730	Belgian Fawn (Goat)	Belgian Fawn	Goat	UBO:0000016
Bengal!%!Goat	UBO:0000731	Bengal (Goat)	Bengal	Goat	UBO:0000016
Berber!%!Goat	UBO:0000732	Berber (Goat)	Berber	Goat	UBO:0000016
Bezoar!%!Goat	UBO:0000733	Bezoar (Goat)	Bezoar	Goat	UBO:0000016
Blended!%!Goat	UBO:0000734	Blended (Goat)	Blended	Goat	UBO:0000016
